hsa	Homo sapiens (human)
ptr	Pan troglodytes (chimpanzee)
pps	Pan paniscus (bonobo)
ggo	Gorilla gorilla gorilla (western lowland gorilla)
pon	Pongo abelii (Sumatran orangutan)
nle	Nomascus leucogenys (northern white-cheeked gibbon)
mcc	Macaca mulatta (rhesus monkey)
mcf	Macaca fascicularis (crab-eating macaque)
rro	Rhinopithecus roxellana (golden snub-nosed monkey)
cjc	Callithrix jacchus (white-tufted-ear marmoset)
mmu	Mus musculus (mouse)
rno	Rattus norvegicus (rat)
cge	Cricetulus griseus (Chinese hamster)
ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)
hgl	Heterocephalus glaber (naked mole rat)
ocu	Oryctolagus cuniculus (rabbit)
tup	Tupaia chinensis (Chinese tree shrew)
cfa	Canis familiaris (dog)
aml	Ailuropoda melanoleuca (giant panda)
umr	Ursus maritimus (polar bear)
fca	Felis catus (domestic cat)
ptg	Panthera tigris altaica (Amur tiger)
bta	Bos taurus (cow)
bom	Bos mutus (wild yak)
phd	Pantholops hodgsonii (chiru)
chx	Capra hircus (goat)
oas	Ovis aries (sheep)
ssc	Sus scrofa (pig)
cfr	Camelus ferus (Wild Bactrian camel)
bacu	Balaenoptera acutorostrata scammoni (minke whale)
lve	Lipotes vexillifer (Yangtze River dolphin)
ecb	Equus caballus (horse)
myb	Myotis brandtii (Brandt's bat)
myd	Myotis davidii
pale	Pteropus alecto (black flying fox)
mdo	Monodelphis domestica (opossum)
shr	Sarcophilus harrisii (Tasmanian devil)
oaa	Ornithorhynchus anatinus (platypus)
gga	Gallus gallus (chicken)
mgp	Meleagris gallopavo (turkey)
apla	Anas platyrhynchos (mallard)
tgu	Taeniopygia guttata (zebra finch)
gfr	Geospiza fortis (medium ground-finch)
fab	Ficedula albicollis (collared flycatcher)
phi	Pseudopodoces humilis (Tibetan ground-tit)
ccw	Corvus cornix (hooded crow)
fpg	Falco peregrinus (peregrine falcon)
fch	Falco cherrug (Saker falcon)
clv	Columba livia (rock pigeon)
asn	Alligator sinensis (Chinese alligator)
amj	Alligator mississippiensis (American alligator)
pss	Pelodiscus sinensis (Chinese soft-shelled turtle)
cmy	Chelonia mydas (green sea turtle)
acs	Anolis carolinensis (green anole)
pbi	Python bivittatus (Burmese python)
xla	Xenopus laevis (African clawed frog)
xtr	Xenopus tropicalis (western clawed frog)
dre	Danio rerio (zebrafish)
tru	Takifugu rubripes (torafugu)
mze	Maylandia zebra (zebra mbuna)
ola	Oryzias latipes (Japanese medaka)
xma	Xiphophorus maculatus (southern platyfish)
lcm	Latimeria chalumnae (coelacanth)
cmk	Callorhinchus milii (elephant shark)
bfo	Branchiostoma floridae (Florida lancelet)
cin	Ciona intestinalis (sea squirt)
spu	Strongylocentrotus purpuratus (purple sea urchin)
sko	Saccoglossus kowalevskii (acorn worm)
dme	Drosophila melanogaster (fruit fly)
dpo	Drosophila pseudoobscura pseudoobscura
dan	Drosophila ananassae
der	Drosophila erecta
dpe	Drosophila persimilis
dse	Drosophila sechellia
dsi	Drosophila simulans
dwi	Drosophila willistoni
dya	Drosophila yakuba
dgr	Drosophila grimshawi
dmo	Drosophila mojavensis
dvi	Drosophila virilis
mde	Musca domestica (house fly)
aga	Anopheles gambiae (mosquito)
aag	Aedes aegypti (yellow fever mosquito)
cqu	Culex quinquefasciatus (southern house mosquito)
ame	Apis mellifera (honey bee)
soc	Solenopsis invicta (red fire ant)
aec	Acromyrmex echinatior (Panamanian leafcutter ant)
hst	Harpegnathos saltator (Jerdon's jumping ant)
cfo	Camponotus floridanus (Florida carpenter ant)
nvi	Nasonia vitripennis (jewel wasp)
tca	Tribolium castaneum (red flour beetle)
bmor	Bombyx mori (domestic silkworm)
pxy	Plutella xylostella (diamondback moth)
api	Acyrthosiphon pisum (pea aphid)
phu	Pediculus humanus corporis (human body louse)
isc	Ixodes scapularis (black-legged tick)
cel	Caenorhabditis elegans (nematode)
cbr	Caenorhabditis briggsae
bmy	Brugia malayi (filaria)
loa	Loa loa (eye worm)
tsp	Trichinella spiralis
hro	Helobdella robusta
lgi	Lottia gigantea (owl limpet)
crg	Crassostrea gigas (Pacific oyster)
obi	Octopus bimaculoides
smm	Schistosoma mansoni
nve	Nematostella vectensis (sea anemone)
hmg	Hydra vulgaris
tad	Trichoplax adhaerens
aqu	Amphimedon queenslandica (sponge)
ath	Arabidopsis thaliana (thale cress)
aly	Arabidopsis lyrata (lyrate rockcress)
crb	Capsella rubella
eus	Eutrema salsugineum
brp	Brassica rapa (field mustard)
bna	Brassica napus (rape)
boe	Brassica oleracea (wild cabbage)
thj	Tarenaya hassleriana (spider flower)
cit	Citrus sinensis (Valencia orange)
cic	Citrus clementina (mandarin orange)
tcc	Theobroma cacao (cacao)
gra	Gossypium raimondii
egr	Eucalyptus grandis (rose gum)
gmx	Glycine max (soybean)
pvu	Phaseolus vulgaris (common bean)
vra	Vigna radiata (mung bean)
mtr	Medicago truncatula (barrel medic)
cam	Cicer arietinum (chickpea)
fve	Fragaria vesca (woodland strawberry)
pper	Prunus persica (peach)
pmum	Prunus mume (Japanese apricot)
mdm	Malus domestica (apple)
pxb	Pyrus x bretschneideri (Chinese white pear)
csv	Cucumis sativus (cucumber)
cmo	Cucumis melo (muskmelon)
rcu	Ricinus communis (castor bean)
jcu	Jatropha curcas
pop	Populus trichocarpa (black cottonwood)
vvi	Vitis vinifera (wine grape)
sly	Solanum lycopersicum (tomato)
spen	Solanum pennellii
sot	Solanum tuberosum (potato)
sind	Sesamum indicum (sesame)
bvg	Beta vulgaris (sugar beet)
nnu	Nelumbo nucifera (sacred lotus)
osa	Oryza sativa japonica (Japanese rice) (RefSeq)
dosa	Oryza sativa japonica (Japanese rice) (RAPDB)
obr	Oryza brachyantha (malo sina)
bdi	Brachypodium distachyon
sbi	Sorghum bicolor (sorghum)
zma	Zea mays (maize)
sita	Setaria italica (foxtail millet)
pda	Phoenix dactylifera (date palm)
egu	Elaeis guineensis (African oil palm)
mus	Musa acuminata (wild Malaysian banana)
atr	Amborella trichopoda
smo	Selaginella moellendorffii
ppp	Physcomitrella patens subsp. patens
cre	Chlamydomonas reinhardtii
vcn	Volvox carteri f. nagariensis
olu	Ostreococcus lucimarinus
ota	Ostreococcus tauri
bpg	Bathycoccus prasinos
mis	Micromonas sp. RCC299
mpp	Micromonas pusilla
csl	Coccomyxa subellipsoidea
cvr	Chlorella variabilis
apro	Auxenochlorella protothecoides
cme	Cyanidioschyzon merolae
gsl	Galdieria sulphuraria
ccp	Chondrus crispus (carragheen)
sce	Saccharomyces cerevisiae (budding yeast)
ago	Ashbya gossypii (Eremothecium gossypii)
erc	Eremothecium cymbalariae
kla	Kluyveromyces lactis
lth	Lachancea thermotolerans
vpo	Vanderwaltozyma polyspora
zro	Zygosaccharomyces rouxii
cgr	Candida glabrata
ncs	Naumovozyma castellii
ndi	Naumovozyma dairenensis
tpf	Tetrapisispora phaffii
tbl	Tetrapisispora blattae
tdl	Torulaspora delbrueckii
kaf	Kazachstania africana
ppa	Komagataella phaffii
dha	Debaryomyces hansenii
pic	Scheffersomyces stipitis
pgu	Meyerozyma guilliermondii
spaa	Spathaspora passalidarum
lel	Lodderomyces elongisporus
cal	Candida albicans
ctp	Candida tropicalis
